stvr,pval,animal,group,unit,pps,deaf_dur,SGN
0.325758305,8.91E-09,I1,ED-US,I1_s15-2,40,276,14143.5
0.608973773,3.33E-16,I1,ED-US,I1_s15-2,80,276,14143.5
0.370135256,7.58E-07,I1,ED-US,I1_s15-2,160,276,14143.5
0.146585769,0.091041988,I1,ED-US,I1_s15-2,320,276,14143.5
0.199925862,0.024659398,I1,ED-US,I1_s15-2,640,276,14143.5
0.350214362,0.060411612,I1,ED-US,I1_s16-6,20,280,14143.5
0.179308917,0.006514939,I1,ED-US,I1_s16-6,40,280,14143.5
0.402780113,5.94E-13,I1,ED-US,I1_s16-6,80,280,14143.5
0.275254616,1.92E-06,I1,ED-US,I1_s16-6,160,280,14143.5
0.276141178,1.76E-06,I1,ED-US,I1_s16-6,320,280,14143.5
0.570248742,1.11E-16,I1,ED-US,I1_s16-6,640,280,14143.5
0.045021807,0.981526935,I1,ED-US,I1_s17-2,20,284,14143.5
0,1,I1,ED-US,I1_s17-2,40,284,14143.5
0.191668551,0.002700457,I1,ED-US,I1_s17-2,80,284,14143.5
0,1,I1,ED-US,I1_s17-2,160,284,14143.5
0,1,I1,ED-US,I1_s17-2,320,284,14143.5
0,1,I1,ED-US,I1_s17-2,640,284,14143.5
0.073719745,0.767659696,I1,ED-US,I1_s18-8,20,288,14143.5
0.095355153,0.468844328,I1,ED-US,I1_s18-8,40,288,14143.5
0.798853868,0,I1,ED-US,I1_s18-8,80,288,14143.5
0.103885784,0.357012314,I1,ED-US,I1_s18-8,160,288,14143.5
0.08187321,0.659423378,I1,ED-US,I1_s18-8,320,288,14143.5
0.065287937,0.766754558,I1,ED-US,I1_s18-8,640,288,14143.5
0.190539777,0.002933189,I1,ED-US,I1_s19-2,20,291,14143.5
0.298323923,1.80E-07,I1,ED-US,I1_s19-2,40,291,14143.5
0.467642753,1.69E-06,I1,ED-US,I1_s19-2,80,291,14143.5
0.296816685,2.12E-07,I1,ED-US,I1_s19-2,160,291,14143.5
0.040949488,0.98989507,I1,ED-US,I1_s19-2,320,291,14143.5
0.09741784,0.406774001,I1,ED-US,I1_s19-2,640,291,14143.5
0.383417944,7.88E-12,I1,ED-US,I1_s19-3,20,291,14143.5
0.813917282,0,I1,ED-US,I1_s19-3,40,291,14143.5
0.856464922,1.42E-10,I1,ED-US,I1_s19-3,80,291,14143.5
0.416783544,8.50E-14,I1,ED-US,I1_s19-3,160,291,14143.5
0.324737345,1.00E-08,I1,ED-US,I1_s19-3,320,291,14143.5
0.31190543,8.35E-06,I1,ED-US,I1_s19-3,640,291,14143.5
0.48793785,0,I1,ED-US,I1_s19-4,20,291,14143.5
0.384561986,6.78E-12,I1,ED-US,I1_s19-4,40,291,14143.5
0.242365981,4.29E-05,I1,ED-US,I1_s19-4,80,291,14143.5
0.300122962,1.49E-07,I1,ED-US,I1_s19-4,160,291,14143.5
0.116316141,0.222789478,I1,ED-US,I1_s19-4,320,291,14143.5
0.066288015,0.75620735,I1,ED-US,I1_s19-4,640,291,14143.5
0.070722341,0.803579624,I1,ED-US,I1_s20-2,20,298,14143.5
0.105547968,0.336881733,I1,ED-US,I1_s20-2,40,298,14143.5
0.200137676,0.010834681,I1,ED-US,I1_s20-2,80,298,14143.5
0.391466987,2.73E-12,I1,ED-US,I1_s20-2,160,298,14143.5
0.092216077,0.512665924,I1,ED-US,I1_s20-2,320,298,14143.5
0.074308732,0.667222133,I1,ED-US,I1_s20-2,640,298,14143.5
0.072130674,0.787022768,I1,ED-US,I1_s21-5,20,302,14143.5
0.127472918,0.135989127,I1,ED-US,I1_s21-5,40,302,14143.5
0.126964101,0.174191082,I1,ED-US,I1_s21-5,80,302,14143.5
0.054483515,0.943969226,I1,ED-US,I1_s21-5,160,302,14143.5
0.061897381,0.892170468,I1,ED-US,I1_s21-5,320,302,14143.5
0.134391104,0.128661493,I1,ED-US,I1_s21-5,640,302,14143.5
0.481432486,0,I1,ED-US,I1_s26-1,20,331,14143.5
0.777049347,0,I1,ED-US,I1_s26-1,40,331,14143.5
0.821120223,0,I1,ED-US,I1_s26-1,80,331,14143.5
0.502246644,0,I1,ED-US,I1_s26-1,160,331,14143.5
0.238681942,5.95E-05,I1,ED-US,I1_s26-1,320,331,14143.5
0.161919901,0.043152564,I1,ED-US,I1_s26-1,640,331,14143.5
0.198696744,0.00159813,I1,ED-US,I1_s27-3,20,334,14143.5
0.172573985,0.029822999,I1,ED-US,I1_s27-3,40,334,14143.5
0.277032798,0.000236489,I1,ED-US,I1_s27-3,80,334,14143.5
0,1,I1,ED-US,I1_s27-3,160,334,14143.5
0,1,I1,ED-US,I1_s27-3,320,334,14143.5
0,1,I1,ED-US,I1_s27-3,640,334,14143.5
0.095908024,0.408013976,I1,ED-US,I1_s28-3,20,340,14143.5
0.136175863,0.129712227,I1,ED-US,I1_s28-3,40,340,14143.5
0.443195725,3.36E-09,I1,ED-US,I1_s28-3,80,340,14143.5
0.442334071,3.60E-09,I1,ED-US,I1_s28-3,160,340,14143.5
0.064690752,0.736315986,I1,ED-US,I1_s28-3,320,340,14143.5
0.047157667,0.791273821,I1,ED-US,I1_s28-3,640,340,14143.5
0.337025835,6.73E-06,I1,ED-US,I1_s29-1,20,342,14143.5
0.292817072,0.042560262,I1,ED-US,I1_s29-1,40,342,14143.5
0.409660767,0.000337381,I1,ED-US,I1_s29-1,80,342,14143.5
0.454881918,2.86E-05,I1,ED-US,I1_s29-1,160,342,14143.5
0.273839687,0.076163288,I1,ED-US,I1_s29-1,320,342,14143.5
0.268308528,0.124011178,I1,ED-US,I1_s29-1,640,342,14143.5
0.088201195,0.569731196,I1,ED-US,I1_s29-2,20,342,14143.5
0.089229247,0.555062421,I1,ED-US,I1_s29-2,40,342,14143.5
0.08881423,0.560981929,I1,ED-US,I1_s29-2,80,342,14143.5
0.125262497,0.150720522,I1,ED-US,I1_s29-2,160,342,14143.5
0.041775042,0.988496279,I1,ED-US,I1_s29-2,320,342,14143.5
0.130655833,0.147090256,I1,ED-US,I1_s29-2,640,342,14143.5
0.203702194,0.697279576,I1,ED-US,I1_s30-2,20,346,14143.5
0.364500988,0.039387275,I1,ED-US,I1_s30-2,40,346,14143.5
0.43722181,0.003712729,I1,ED-US,I1_s30-2,80,346,14143.5
0.478821421,0.000698331,I1,ED-US,I1_s30-2,160,346,14143.5
0.369838657,0.033892006,I1,ED-US,I1_s30-2,320,346,14143.5
0.20806962,0.59748253,I1,ED-US,I1_s30-2,640,346,14143.5
0.1667857,0.040663673,I1,ED-US,I1_s31-2,20,348,14143.5
0.148691904,0.098966538,I1,ED-US,I1_s31-2,40,348,14143.5
0.618679947,0,I1,ED-US,I1_s31-2,80,348,14143.5
0.328255903,1.65E-07,I1,ED-US,I1_s31-2,160,348,14143.5
0.058802438,0.953205952,I1,ED-US,I1_s31-2,320,348,14143.5
0,1,I1,ED-US,I1_s31-2,640,348,14143.5
0.12534544,0.405124407,I1,ED-US,I1_s32-3,20,353,14143.5
0.136611374,0.294567586,I1,ED-US,I1_s32-3,40,353,14143.5
0.264146837,5.42E-05,I1,ED-US,I1_s32-3,80,353,14143.5
0.140614162,0.260001048,I1,ED-US,I1_s32-3,160,353,14143.5
0.184087087,0.046769585,I1,ED-US,I1_s32-3,320,353,14143.5
