stvr,pval,animal,group,unit,pps,deaf_dur,SGN
0.7278305449538462,0,I1,ED-US,I1_s12-2,20,264,14143.5
0.8299391482363455,0,I1,ED-US,I1_s12-2,40,264,14143.5
0.7853476202342387,0,I1,ED-US,I1_s12-2,80,264,14143.5
0.252679307502061,0.13605670638605827,I1,ED-US,I1_s14-2,20,272,14143.5
0.2309109754693079,0.22874972986591846,I1,ED-US,I1_s14-2,40,272,14143.5
0.18370607028753996,0.534190967629413,I1,ED-US,I1_s14-2,80,272,14143.5
0.2524624157594608,0.1368161866047729,I1,ED-US,I1_s14-2,160,272,14143.5
0.3319107662463628,0.010720073370095395,I1,ED-US,I1_s14-2,320,272,14143.5
0.07512805919180421,0.9740983631461321,I1,ED-US,I1_s14-2,640,272,14143.5
0.09227018172120843,0.5119028719504837,I1,ED-US,I1_s14-5,20,272,14143.5
0.12573556989692328,0.14746933934608009,I1,ED-US,I1_s14-5,40,272,14143.5
0.0,1.0,I1,ED-US,I1_s14-5,80,272,14143.5
0.17298646927529285,0.010005975594547634,I1,ED-US,I1_s14-5,160,272,14143.5
0.0,1.0,I1,ED-US,I1_s14-5,320,272,14143.5
0.0,1.0,I1,ED-US,I1_s14-5,640,272,14143.5
0.12689969604863222,0.5683283543740949,I1,ED-US,I1_s14-6,20,272,14143.5
0.16678224687933427,0.21777747417697313,I1,ED-US,I1_s14-6,40,272,14143.5
0.2163259317225863,0.03518719057848385,I1,ED-US,I1_s14-6,80,272,14143.5
0.10605270023480304,0.7699925341701632,I1,ED-US,I1_s14-6,160,272,14143.5
0.17658988845429524,0.1599958702496923,I1,ED-US,I1_s14-6,320,272,14143.5
0.2149987825663501,0.06613888408443713,I1,ED-US,I1_s14-6,640,272,14143.5
0.21498056239079574,0.00044489358517518784,I1,ED-US,I1_s15-2,20,276,14143.5
0.3257583052479538,8.909356474795516e-09,I1,ED-US,I1_s15-2,40,276,14143.5
0.6089737731883396,3.3306690738754696e-16,I1,ED-US,I1_s15-2,80,276,14143.5
